Tanggal & Waktu,Operator,Aktivitas,Detail Keterangan
2026-06-27 06:14:55,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0010).
2026-06-27 06:18:25,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0007) dari Pen B (Bobot 350-450kg) menuju Pen D (Khusus/Isolasi Sakit).
2026-06-27 06:20:30,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0003) dari Pen B (Bobot 350-450kg) menuju Pen D (Khusus/Isolasi Sakit).
2026-06-27 09:09:57,operator,Logout,Keluar dari sistem.
2026-06-27 09:12:49,admin,Logout,Keluar dari sistem.
2026-06-27 15:52:29,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-27 15:55:09,admin,Logout,Keluar dari sistem.
2026-06-28 14:17:46,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-28 14:19:09,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-28 14:19:53,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0005).
2026-06-28 14:21:18,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0007).
2026-06-28 14:21:50,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0008).
2026-06-28 14:22:43,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0004).
2026-06-28 14:23:41,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0002).
2026-06-28 14:24:39,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0010).
2026-06-29 01:11:41,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0005).
2026-06-29 01:12:05,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0006).
2026-06-29 01:12:20,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0007).
2026-06-29 01:13:00,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0008).
2026-06-29 01:13:15,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0009).
2026-06-29 01:14:11,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0004).
2026-06-29 01:15:05,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0002).
2026-06-29 01:16:01,operator,Input Pakan,Menambahkan pakan sebanyak 10.0 kg ke Sapi Kode S1 (RFID DPR0010).
